player_name,real_name,nationality,team,player_status
Choppadown,John Culianos,United States,,Retired
ChouChuu,,Taiwan,,Retired
Chr1s878,Shun-Xian Huang,Taiwan,StinkyB,Active
Chris,Chris Brown,Canada,,Retired
Chrollo,Igor Bogomolov,Russia,,Retired
Clane,Charles Lane,United States,XSET,Active
Claraphi,Jay Stanley,United States,,Retired
clawz,Nikita Marchinsky,Belarus,Natus Vincere,Active
cleaveee,Denis Rassokhin,Russia,Team Empire,Active
Clem,Clement Graham,United Kingdom,,Retired
Clone,Guillaume Besse,France,,Active
CloNeZERA,Diogo Mariano da Silva,Brazil,,Active
Cody,Cody Loze,United States,Team Intel,Active
ColaTMB,Zac McCooey,United States,,Retired
Cooller,Anton Singov,Russia,,Retired
Cornpops,Jeremy Sherin,United States,,Retired
Coryyy,Cory,United States,,Active
CPBR,Nikita Tyurin,Russia,,Active
Cpt,Park Won-jae,South Korea,Crazy Raccoon,Retired
Crank,,Canada,,Retired
Crazyface,Sheng-Lun Zhang,Taiwan,,Retired
crems,Carl Aspehult,Sweden,,Retired
Crewsn,Brandon Crews,United States,Team Excedrin,Active
Crizx,,France,,Active
Crook,Kyle Hughes,United States,Atlanta Premier,Active
CrozzoveR,Jaime Alvarez,United States,,Retired
CrS,Chris Mixon,United States,,Retired
Crust,Nicholas Kell,Canada,Sentinels,Active
Cryptic,Zain Hayres,Australia,,Retired
CryptiK,Nathan Humphries,Australia,,Retired
CUBSKi,Andre Enriquez,United States,Oxygen Esports,Active
cucubau,Cucu Adrian,Romania,,Retired
Curihara,,Japan,RxR Clover,Active
Cybe8,Giulio Bavaresco,Italy,,Retired
cyian,,Japan,TEQWING,Active
Cyndalive,Andy James Jacobs,South Africa,,Active
Cynic,Rhys Lambourne,United Kingdom,,Retired
cYpheR,Alexei Yanushevsky,Belarus,,Retired
cyptripio,Javier Alonso Soto Gonzalez,Chile,,Active
Cyqop,Théo Lesecq,France,AllPlanned,Retired
D4rk,Jean-Paul Adams,France,Nemesis,Active
Daiki,,Japan,,Active
Daltoosh,Dalton,United States,TSM,Active
Daniomega,Dani Strange-Durante,United Kingdom,NoFear Gaming,Active
Darkin,Georgi Titov,United Kingdom,,Active
Darkside,Colwyn King,Canada,,Active
DaStwika,Matthew Ries,South Africa,,Active
DavinCi,,Japan,ORTHROS FANG,Retired
Davsa,David Halberštát,Czech Republic,,Retired
Daze,Damien Patrac,France,,Retired
Dazoh,Joshua Alston Davis,United Kingdom,UNDERRATED,Active
Dazs,Hector Felix,United States,SoaR,Active
Dcop,Carlo Delsol,Mexico,,Retired
DcTzr,Joshua Jones,United Kingdom,,Active
ddk,Daniel Kapadia,United Kingdom,FACEIT,Active
Deft,Pedro Henrique,Brazil,,Retired
demotivator,Batuhan Emre Balaban,Turkey,Team HLDC,Active
Denpride,Kevin Sanchez,Colombia,All Glory Gaming,Active
Denzaay,Denis Brendstrup,Poland,,Active
Dero,Rattawit Supasertpokin,Thailand,,Active
Desertuk,Petr Myagkov,Belarus,FIGVAM,Active
Despe,Ville Palmu,Finland,,Retired
DeX,Hyun Jae-geun,South Korea,Quintette Fortissimo,Active
Dexter,Lertpong Nakurai,Thailand,EXO Clan,Active
dexyuku,,Japan,FENNEL,Active
Dezignful,Tyler Gardner,United States,G2 Esports,Active
DiA,Rafael Ruiz,Canada,,Active
Dictator,Mohammed Bin Hattan,Saudi Arabia,NASR Esports,Active
Dids,Matthew Didehvar,United Kingdom,,Active
diegosaurs,Diego Raymond Navarrette,United States,,Retired
Diffauss,Nikita Gainitdinov,Russia,Avangard,Active
diffq,Nicholas David Espersen,Denmark,soloQgoats,Active
Diimas,Raphael Ramalho,Brazil,,Active
Dimi,Robert Johnson,United States,Team Nerf,Active
Dipities,Channel Tello,Sweden,T-Rex,Active
dizzy,Coby Meadows,United States,,Retired
DizzyMizLizyy,Ishikawa Yuto,Japan,RIG North,Active
DjTalica,Andrew Reid,Australia,,Retired
DKzeera,Gustavo Martinello,Brazil,,Active
Dodge,Dodge Lecciones,Philippines,,Active
Dogma,Kim Jeong-jin,South Korea,REJECT,Active
Don,Hao Tan,Taiwan,Meteor,Active
DoomMVP,Muhhamad Hafiz,Indonesia,Method2Madness,Active
dooplex,Ira Shepherd,United States,Esports Arena,Active
Double0negative,Drew,United States,Absolute Monarchy,Active
DOYOUKNOWDOO,Jung Hyun-doo,South Korea,D4RK Esports,Active
DRAM4H,Daniel Avelarde,Colombia,,Active
Dreadnaught,Wade Penfold,United States,,Unknown
Drenzi,Lucas Medaris,United States,,Retired
Dresavx,Andrei Savu,United States,Team Razer,Active
Dropped,Mark Thees,United States,Spacestation Gaming,Active
dsblf,David Khachapuridze,Russia,Magicians,Active
dummy,Tim Olson,United States,,Retired
Duvan,Duvan Quintero,Colombia,,Retired
Dēcapitāre,Baptiste Garcia,France,789,Active
Edah,Ewan Bodden,United Kingdom,,Active
Eden,,Japan,,Active
Eiwiin,Jeremie Mac Carthy,France,,Active
Elfishguy,Jordan Mays,Australia,,Active
Elicit,Ryan Viola,United States,,Retired
Ellish,Muhammad Iqbal Yudi Aksan,Indonesia,Im Online Now,Active
Elysium,Felipe Andrés Zapata Marchant,Chile,Team Singularity,Active
EMEF,Alistair Allum,United Kingdom,Invictus Gaming International,Active
Emersons,Danil Bogdanov,Russia,KOMANDA A,Active
EMILIAZII,Atikan Senkaew,Thailand,Inside The Ring,Active
Emtee,Matthew Trengove,Australia,Team Burger,Active
ErycYoo,Li Wei,Taiwan,Welcome,Active
Esdesu,Elvira Temirova,Russia,789,Active
EsProxy,Esmari Swart,South Africa,,Active
