player_name,real_name,nationality,team,player_status
Taylor,Johan Taylor,Sweden,Rebel,Active
TayluSs,Juan Barraza,Mexico,,Active
TayS,Ilya Taishyn,Belarus,,Retired
Tchoviss,Daniel Campos Tavares Gomes,Brazil,,Active
TechedCandy,Cambrian Antrillo,United States,eRa Eternity,Active
Teenage,Justin Phipps,United States,,Active
Tempest,Noah Donahue,United States,Built By Gamers,Active
Tempplex,Titinan Chansap,Thailand,Reignite,Active
TenoriN,,Japan,ORTHROS FANG,Active
TeQ,Will Starck,United States,FURIA Esports,Active
Tethy,,Japan,Pro Gaming team Selector,Active
TGB,António Martins,Portugal,,Active
THaless,Thales Teixeira Rodrigues,Brazil,Flawless Gaming,Active
Thanks4Dying,Nathan Bernard,United States,,Retired
theb1gone,Federico Fantozzi,Italy,,Retired
thebaku,Dawid Bak,Poland,,Retired
theesaar,Matheus Cabral Sartorio,Brazil,Pirate Dream Esports,Active
ThendoPlays,Thendo Mukhavhuli,South Africa,DNMK Esports,Active
ThePr0,Earving Alberto,Mexico,All Glory Gaming,Active
TheTerroday,Axel Flocco,Argentina,,Active
thex,Simon Hald,Denmark,,Active
Thief,,South Korea,Quintette Fortissimo,Active
THump,Taylor Humphries,United States,Oath Gaming,Retired
tkmEND,,Japan,,Active
Tom,Tom Bull,United Kingdom,Transatlantic Gaming,Active
tomorow,,Japan,Radical Pop Gaming,Active
Tonpi?,Tomohiro Fukuoka,Japan,,Active
Tosh1,,Japan,LEDIAN MAGICAL,Active
ToxikeN,Joshua Campos,Spain,,Retired
Trabz,Fabrizzio Ramos Amador,Peru,,Active
Trent,Brendan Ward,Australia,Perihelion,Retired
Trevv,Trevor Moye,United States,Lazarus,Retired
Trinal,Jose Santos,Dominican Republic,Exolved Esports NA,Active
Trumanjar,Sebastián Guzman,Chile,,Active
TsaiG,Wen-Hao Yang,Taiwan,AFTERMATH Gaming Taiwan,Active
Tsquared,Tom Taylor,United States,,Active
Tsubaki,,Japan,,Active
TTXTR,Abdullah,Saudi Arabia,,Active
tur0gh-,Jansen Tosi Siqueira,Brazil,,Active
turnzz,Jordan McClelland,United States,Team Nestle,Active
twenty,Jordan Bouah,South Africa,,Active
Twizy,Juan Jody Tubil,Indonesia,NXL WOLFPACK,Active
tycoonyx,Max Schrink,Germany,,Active
Tyler,Tyler Wood,United Kingdom,Mutariuum,Active
UltimateNoob,Matthew Bryan Desouza,India,,Retired
UmichanLoveti,,Japan,United Crew γ,Active
undRcL,Nicolas Avendaño Zavala,Chile,,Active
Unlimited,Peeranath Paraprom,Thailand,Dynamite,Active
unlucky,Andre Türk,Austria,Mutariuum,Active
Unnin,Eugenio Gonzalez,United States,,Active
UpSushi,Mauricio,Mexico,,Active
Urban,Jonathon Boland,Canada,,Retired
uruca,,Japan,Crazy Raccoon,Retired
Uxako,Jose Domingo Llosa Mesías,Spain,K1CK,Active
uzagiii,,Japan,Revolution in Esports Affairs,Active
Vaifs,Simon Bellini,Sweden,Alliance,Active
Varayn,Tolga Çınar,Turkey,,Active
Vatroh,William Fickett,United States,Counter Logic Gaming,Active
Vaxlon,Alan Gonzalez,United States,100 Thieves,Active
Vein,Nicholas Hobbs,United States,XSET,Active
Veineless,Marcel Lehmann,Germany,,Retired
Verhulst,Evan Verhulst,United States,TSM,Active
Vetita,Chad Schuster,United States,,Retired
viazUU,Michele Marais,South Africa,DNMK Esports,Active
Vic,Victor Elliot Enqvist,Sweden,Clique Esports,Active
VickyPalami,Vicky Palami,Mexico,Complexity Gaming,Active
Viizay,Dylan Braund,United States,Lazarus,Active
VikkiKitty,Victoria Perez,United States,,Active
Viness,Nguyễn Trung Tín,Vietnam,,Retired
ViNiM,Vincent Cappetto,United States,,Retired
Virtual Gorilla,,Japan,Knot Not Rank,Active
Viss,Colton Visser,United States,Team SoloMid,Active
Vital,Nicholas R. Turner,United States,,Retired
VJEIX,Ameer Hassan,Iraq,Acend,Active
VlaDéDé,Romain Mieudonnet,France,,Retired
Voltic,Justin Maunz,United States,,Active
Vorikx,Darius Davis,United States,,Retired
vsnz,Sean Garcia,United States,Team SoloMid,Active
Vuzby,Kaylib Moore,Canada,,Active
Vyolent,Brian Matos,United States,Rise Nation,Retired
w1nter,Kei-Jeun Lee,Hong Kong,,Retired
WaaaaiWaaaai,Igor Leonov,Russia,,Active
WACKO,Jack Middleton,United Kingdom,,Retired
wave,Davis Barone,United States,Dexterity,Active
WeakQ,Vladislav Suslov,Russia,SPIRAL Team,Active
WEku,Verneri Siren,Finland,,Retired
Wen,Zhang Hong-Qiang,China,,Retired
WenXx,,China,April,Active
WeThePeople1,,United States,Absolute Monarchy,Active
WhysoFriendly,Jacques Schalkwyk,South Africa,,Active
WiKeD,Matthew Robertson,United States,Built By Gamers,Active
Willemkh,Antonio Gerard Willem Kleijn Hesselink,Italy,Outplayed,Active
WILLSTARZ,Taha Güven,Turkey,,Retired
Winghaven,Sergi Torras Aragonés,Spain,,Retired
Winner,Oh Han-gyel,South Korea,,Active
WisdoM,,Japan,TEQWING,Active
wLny,Dominik Wollny,Germany,,Retired
Wokka,Yudai Ichise,Japan,Crazy Raccoon,Active
Wolfx,Tomás Concha,Chile,Xen,Active
wqtagashi,,Japan,IGZIST,Active
WreXuu,Timothy Barnard,South Africa,Royalty Esports,Active
Wrugb,Anatoly Belousov,Russia,Natus Vincere,Active
wSerious,Romain Dittmann,France,AllPlanned,Active
Wuy,,China,April,Active
Wxltzy,Ben Walton,Australia,Sutoraiku,Active
Xabby,Jakkratorn Khemkhajorn,Thailand,,Active
xaniya,Anton Shkuratov,Russia,789,Active
xanndr,Aleksandr Skulovets,Russia,FIGVAM,Active
Xargon,Wei Chang,Taiwan,,Retired
Xathritess,Abbas Vahabzade,Turkey,,Active
Xav4ge,Lim Ui-jun,South Korea,,Retired
xB1GWolf,Jonas Hömßen,Germany,,Active
Xednim,,United States,,Active
Xekutz,Arif Zikri,Malaysia,Perangai Esport,Inactive
Xenial,Angello Cadenas,United States,Spacestation Gaming,Active
Xeon,Oleksandr Bakumenko,Ukraine,,Retired
Xeratricky,Nelson Medina,United States,FURIA Esports,Active
xeriffer,Franco Samuel Korompai,Slovakia,,Active
Xertys,Berke Balkan,Turkey,Team HLDC,Active
XiaoKai,Yuan Gao,China,MDY White,Active
xKiRiNo,Mituki Hirosue,Japan,Donuts Unsold Stuff Gaming,Active
Xqkfuu,Gabriel Freville,France,,Active
Xron,Dmytro Sakharuk,Ukraine,Natus Vincere,Active
xuqiiii,,China,,Retired
Xzz,,China,,Active
XzZiE,Dante,Peru,,Active
Y4SO,JC McDonough,United States,,Active
Y4tagan,Tomas Shein,Russia,,Retired
Yaga,Emre Yenilmez,Turkey,Team HLDC,Active
yanlys,Jasper Yue Wei Xiang,Singapore,We Are Trash,Active
Yata,Edward McRowan,United States,,Retired
Yayolvy,,Japan,Donuts USG,Retired
yL,,Japan,DeToNator,Active
Yogi,Justin Deese,United States,,Retired
Yousif,Ahmed Al-Dabboos,Canada,,Retired
Youzi,,Taiwan,,Retired
Yraz,Zary Syarie,Malaysia,,Inactive
yubn,Nathan Yoo Rho,United States,,Active
Yudu,,Japan,DeToNator,Active
YufuNa,,Japan,RELATION X,Active
YukaF,Yuga Horie,Japan,GameWith,Active
yukaPEROdator,,Japan,Fascination Colors Destroy,Active
Yuki,Ming-Liang Oscar Jiang,United Kingdom,Alliance,Active
YUKIO,Okano Yuji,Japan,Riddle,Active
Yukipedia,,Japan,,Active
Yuraah,Yuri Minosian,Russia,,Banned
Yus,Jun-Cheng Yu,China,,Retired
Yuyu,,Taiwan,,Active
Z1CKKY,Jirayut Apiwongngam,Thailand,EXO Clan,Active
Zach,Zach Mazer,United States,Cloud9,Active
Zaekownz,Görkem Köksal,Turkey,,Active
Zanmaa,Mikael Nikkinen,Finland,,Active
Zaphehe,Samuel Lohi,Sweden,,Retired
Zaratass,Zirul Iman,Indonesia,NXL WOLFPACK,Active
Zarlox,,Japan,TEQWING,Active
zBryanxT,William Bryan,Brazil,Digital Gaming,Active
ZDavis,Zach Davis,United States,,Active
Zeder,Choi Dam-ho,South Korea,Crazy Raccoon,Active
ZeemKa,Adrien Marcel,France,,Retired
Zeerocious,Zuhair Taleb,Yemen,,Retired
ZELO,Seo Myeong-sung,South Korea,,Active
Zen,Thomas Curr Davey,Australia,,Active
Zephyr,Ben Fossitt,United States,,Active
Zer0,Rhys Perry,Australia,Reignite,Active
Zeref,Alessio Colalenti,Italy,,Active
ZerG,Haydin Thomas Gordon,United States,,Retired
ZeroNothing,Niko Suominen,Finland,Horizon Union,Active
Zeroplus,Michael,Canada,Kungarna,Active
ziki,Janne Sajomaa,Finland,,Active
Zillach,Lucas,Chile,,Active
Zipeth,Mark Christensen,Ireland,LVL,Active
Zipman,,Japan,SCARZ,Active
ziun,,Japan,,Active
ZMB,Yoan Simon,France,,Retired
zolden,Camilo Spinelli,Argentina,,Active
Zoltam,Nicolás Carrasco,Chile,,Active
zombs,Jared Gitlin,United States,,Retired
Zonda,Jung-Da Lyu,Taiwan,,Retired
ZOONINENINENINE,Mauro Londra,Argentina,,Retired
zSxlem,Salem Hassan Al Talhi,Saudi Arabia,,Active
zzj,,China,,Retired
